height,timestamp,vote_ext_participation_rate
8303077,1757098445,99.51
8303078,1757098447,100.00
8303079,1757098449,100.00
8303080,1757098450,100.00
8303081,1757098452,100.00
8303082,1757098453,99.51
8303083,1757098456,100.00
8303084,1757098457,100.00
8303246,1757098741,99.51
8303247,1757098744,100.00
8303248,1757098744,100.00
8303249,1757098747,100.00
8303250,1757098747,99.33
8303251,1757098750,99.33
8303252,1757098751,98.84
8303253,1757098754,98.84
